DATA_PRELIEVO_DIAGNOSI;CASI
29/01/2020;2
30/01/2020;0
31/01/2020;0
01/02/2020;0
02/02/2020;0
03/02/2020;0
04/02/2020;0
05/02/2020;0
06/02/2020;1
07/02/2020;0
08/02/2020;0
09/02/2020;0
10/02/2020;0
11/02/2020;0
12/02/2020;0
13/02/2020;0
14/02/2020;0
15/02/2020;0
16/02/2020;0
17/02/2020;0
18/02/2020;0
19/02/2020;0
20/02/2020;4
21/02/2020;37
22/02/2020;57
23/02/2020;76
24/02/2020;86
25/02/2020;193
26/02/2020;278
27/02/2020;286
28/02/2020;354
29/02/2020;371
01/03/2020;410
02/03/2020;629
03/03/2020;803
04/03/2020;1075
05/03/2020;1302
06/03/2020;1529
07/03/2020;1655
08/03/2020;1450
09/03/2020;2240
10/03/2020;2458
11/03/2020;2776
12/03/2020;3143
13/03/2020;4105
14/03/2020;3538
15/03/2020;2851
16/03/2020;4816
17/03/2020;5348
18/03/2020;5690
19/03/2020;5681
20/03/2020;6262
21/03/2020;4920
22/03/2020;3928
23/03/2020;6103
24/03/2020;5916
25/03/2020;5804
26/03/2020;5701
27/03/2020;5794
28/03/2020;4539
29/03/2020;3013
30/03/2020;5091
31/03/2020;5362
01/04/2020;5026
02/04/2020;4779
03/04/2020;4447
04/04/2020;3672
05/04/2020;2600
06/04/2020;4093
07/04/2020;4146
08/04/2020;4795
09/04/2020;4689
10/04/2020;5128
11/04/2020;3434
12/04/2020;1920
13/04/2020;2273
14/04/2020;3276
15/04/2020;3949
16/04/2020;3702
17/04/2020;3499
18/04/2020;2641
19/04/2020;1390
20/04/2020;3009
21/04/2020;3081
22/04/2020;2606
23/04/2020;2814
24/04/2020;2737
25/04/2020;1666
26/04/2020;1017
27/04/2020;1983
28/04/2020;2241
29/04/2020;2329
30/04/2020;2268
01/05/2020;1084
02/05/2020;1023
03/05/2020;505
04/05/2020;1457
05/05/2020;1536
06/05/2020;1441
07/05/2020;1389
08/05/2020;1380
09/05/2020;732
10/05/2020;337
11/05/2020;875
12/05/2020;914
13/05/2020;889
14/05/2020;900
15/05/2020;793
16/05/2020;607
17/05/2020;299
18/05/2020;656
19/05/2020;721
20/05/2020;677
21/05/2020;621
22/05/2020;684
23/05/2020;356
24/05/2020;147
25/05/2020;513
26/05/2020;540
27/05/2020;523
28/05/2020;516
29/05/2020;386
30/05/2020;286
31/05/2020;89
01/06/2020;378
02/06/2020;88
03/06/2020;358
04/06/2020;361
05/06/2020;385
06/06/2020;203
07/06/2020;84
08/06/2020;300
09/06/2020;370
10/06/2020;394
11/06/2020;449
12/06/2020;369
13/06/2020;214
14/06/2020;68
15/06/2020;276
16/06/2020;280
17/06/2020;303
18/06/2020;233
19/06/2020;290
20/06/2020;165
21/06/2020;62
22/06/2020;338
23/06/2020;289
24/06/2020;209
25/06/2020;203
26/06/2020;186
27/06/2020;124
28/06/2020;66
29/06/2020;231
30/06/2020;202
01/07/2020;237
02/07/2020;250
03/07/2020;244
04/07/2020;226
05/07/2020;77
06/07/2020;237
07/07/2020;225
08/07/2020;289
09/07/2020;221
10/07/2020;256
11/07/2020;164
12/07/2020;66
13/07/2020;192
14/07/2020;243
15/07/2020;240
16/07/2020;266
17/07/2020;282
18/07/2020;172
19/07/2020;111
20/07/2020;319
21/07/2020;279
22/07/2020;289
23/07/2020;271
24/07/2020;313
25/07/2020;195
26/07/2020;91
27/07/2020;326
28/07/2020;319
29/07/2020;472
30/07/2020;567
31/07/2020;324
01/08/2020;202
02/08/2020;106
03/08/2020;423
04/08/2020;394
05/08/2020;509
06/08/2020;400
07/08/2020;499
08/08/2020;346
09/08/2020;198
10/08/2020;502
11/08/2020;540
12/08/2020;630
13/08/2020;549
14/08/2020;635
15/08/2020;326
16/08/2020;299
17/08/2020;703
18/08/2020;929
19/08/2020;1085
20/08/2020;1170
21/08/2020;1424
22/08/2020;1062
23/08/2020;719
24/08/2020;1678
25/08/2020;1597
26/08/2020;1549
27/08/2020;1527
28/08/2020;1468
29/08/2020;1085
30/08/2020;577
31/08/2020;1427
01/09/2020;1430
02/09/2020;1621
03/09/2020;1606
04/09/2020;1650
05/09/2020;1154
06/09/2020;560
07/09/2020;1543
08/09/2020;1611
09/09/2020;1631
10/09/2020;1672
11/09/2020;1620
